"id";"артикул";"Наименование";"Товар";"Фабрика";"Коллекция";"Тип";"Размер";"Ширина";"Длина";"Вес";"Шт";"М2";"ЕдИзм";"Линк";"Неликвид";"Цена1";"Цена2";"Цена3";"Цена4";"Цена5";"Цена6";"Цена7";"Цена8";"Цена9";"Цена10";"Цена11";"Акция";"Распродажа";"Новинка";"Материал";"Стиль";"Поверхность";"Назначение";"Цвет"
"311408";"+11351";"плитка, Aurum Boiserie Celosia, 30,5x90,3";"+11351 Плитка облиц. керамич. AURUM BOISERIE CELOSIA, 30,5x90,3";"Colorker";"Aurum";"плитка";"30,5x90,3";"30,5";"90,3";"17";"3";"0,84";"м2";;"1";"2630,4";"2498,88";"2630,4";"2082,4";"2498,88";"2082,4";"2082,4";"2082,4";"2082,4";"2082,4";"2082,4";"0";"1";"0";"Керамическая плитка";"Мрамор";"глянцевая";"Плитка для ванной";"бежевый"
"314127";"+13463";"декор, Ven.Bellagio Dark Pul., 58,5x58,5";"+13463 Декор керамич. VEN.BELLAGIO DARK PUL., 58,5x58,5";"Colorker";"Bellagio";"декор";"58,5x58,5";"58,5";"58,5";"12,7";"2";"0,6845";"шт";;"1";"1344";"1276,8";"2609,6";"1064";"1276,8";"1064";"1064";"1064";"1064";"1064";"1064";"0";"1";"0";"Керамогранит";"Мрамор";"глянцевая";"Плитка для гостиной; Плитка для пола";
"314130";"+13466";"бордюр, Lis.Tondo Silver, 10x58,5";"+13466 Бордюр керамич. LIS.TONDO SILVER, 10x58,5";"Colorker";"Bellagio";"бордюр";"10x58,5";"10";"58,5";"7,92";"6";"0,351";"шт";;"1";"1920";"1824";"2889,6";"1520";"1824";"1520";"1520";"1520";"1520";"1520";"1520";"0";"1";"0";"Керамогранит";"Мрамор";"глянцевая";"Плитка для гостиной; Плитка для пола";
"314132";"+13468";"плинтус, Rod.Bellagio Dark Pul., 8x58,5";"+13468 Плинтус керамич. ROD.BELLAGIO DARK PUL., 8x58,5";"Colorker";"Bellagio";"плинтус";"8x58,5";"8";"58,5";"19,24";"14";"0,6552";"шт";;"1";"660,8";"533,52";"739,2";"426,36";"471,2";"448,4";"440,04";"426,36";"417,24";"408,12";"448,4";"0";"1";"0";"Керамогранит";"Мрамор";"глянцевая";"Плитка для гостиной; Плитка для пола";
"315475";"+13545";"декор, Ven.Bellagio Dark Ang.Pul., 4x58,5x58,5";"+13545 Декор керамич. VEN.BELLAGIO DARK ANG.PUL., 4x58,5x58,5";"Colorker";"Bellagio";"декор";"4x58,5x58,5";"4";"58,5";"32";"1";"1,3689";"шт";;"1";"6720";"6384";"19510,4";"5320";"6384";"5320";"5320";"5320";"5320";"5320";"5320";"0";"1";"0";"Керамогранит";"Мрамор";"глянцевая";"Плитка для гостиной; Плитка для пола";
"319912";"+16512";"декор, Ven.Bellagio Dark Ang.Pul. (1 part), 58,5x58,5";"+16512 Декор керамич. VEN.BELLAGIO DARK ANG.PUL. (1 PART), 58,5x58,5";"Colorker";"Bellagio";"декор";"58,5x58,5";"58,5";"58,5";"8";"1";"0,3422";"шт";;"1";"0";"0";"0";"0,08";"0";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0";"1";"0";"Керамическая плитка";;;;
"173281";"+2795";"бордюр, Cen. Andrea Marron, 7x20";"+2795 Бордюр керамич. CEN. ANDREA MARRON, 7x20";"Colorker";"Colors";"бордюр";"7x20";"7";"20";"7,6";"38";"0,532";"шт";;"1";"134,4";"127,68";"134,4";"106,4";"127,68";"106,4";"106,4";"106,4";"106,4";"106,4";"106,4";"0";"1";"0";"Керамическая плитка";;;;
"173285";"+2799";"бордюр, M/C Colors Titanio, 2x20";"+2799 Бордюр керамич. M/C COLORS TITANIO, 2x20";"Colorker";"Colors";"бордюр";"2x20";"2";"20";"3,31";"33";"0,132";"шт";;"1";"134,4";"127,68";"134,4";"106,4";"127,68";"106,4";"106,4";"106,4";"106,4";"106,4";"106,4";"0";"1";"0";"Керамическая плитка";;;;
"286386";"+3069";"пол, Negro, 31,6x31,6";"+3069 Плитка нап. керамич. NEGRO, 31,6x31,6";"Colorker";"Colors";"пол";"31,6x31,6";"31,6";"31,6";"21,75";"12";"1,2";"м2";;"1";"1152";"1094,4";"1152";"912";"1094,4";"912";"912";"912";"912";"912";"912";"0";"1";"0";"Керамическая плитка";;;;
"286404";"+3084";"бордюр, list. corona Marfil, 5x20";"+3084 Бордюр керамич. LIST. CORONA MARFIL, 5x20";"Colorker";"Colors";"бордюр";"5x20";"5";"20";"9,43";"66";"0,66";"шт";;"1";"134,4";"127,68";"134,4";"106,4";"127,68";"106,4";"106,4";"106,4";"106,4";"106,4";"106,4";"0";"1";"0";"Керамическая плитка";;;;
"321728";"+18104";"плитка, DECKO Zuchero, 25x40";"+18104 Плитка облиц. керамич. DECKO ZUCHERO, 25x40";"Colorker";"Decko";"плитка";"25x40";"25";"40";"16";"10";"1";"м2";;"1";"728";"588,24";"728";"469,68";"519,08";"494";"484,12";"469,68";"459,8";"449,92";"494";"0";"0";"1";"Керамическая плитка";;;;
"302697";"+6228";"декор (мм), Gourmet Mint, 29,5x59,5";"+6228 Декор керамич. GOURMET MINT, 29,5x59,5";"Colorker";"Deckorarte";"декор (мм)";"29,5x59,5";"29,5";"59,5";"19";"6";"1,05";"м2";;"1";"1728";"1641,6";"2475,2";"1368";"1641,6";"1368";"1368";"1368";"1368";"1368";"1368";"0";"1";"0";"Керамическая плитка";;;;
"302698";"+6229";"декор (мм), Gourmet Teapot, 29,5x59,5";"+6229 Декор керамич. GOURMET TEAPOT, 29,5x59,5";"Colorker";"Deckorarte";"декор (мм)";"29,5x59,5";"29,5";"59,5";"19";"6";"1,05";"м2";;"1";"1728";"1641,6";"2475,2";"1368";"1641,6";"1368";"1368";"1368";"1368";"1368";"1368";"0";"1";"0";"Керамическая плитка";;;;
"302702";"+6233";"декор (мм), Vintage Jaquard, 29,5x59,5";"+6233 Декор керамич. VINTAGE JAQUARD, 29,5x59,5";"Colorker";"Deckorarte";"декор (мм)";"29,5x59,5";"29,5";"59,5";"19";"6";"1,05";"м2";;"1";"1728";"1641,6";"2475,2";"1368";"1641,6";"1368";"1368";"1368";"1368";"1368";"1368";"0";"1";"0";"Керамическая плитка";;;;
"302704";"+6235";"декор (мм), Vintage Silk, 29,5x59,5";"+6235 Декор керамич. VINTAGE SILK, 29,5x59,5";"Colorker";"Deckorarte";"декор (мм)";"29,5x59,5";"29,5";"59,5";"19";"6";"1,05";"м2";;"1";"1728";"1641,6";"2475,2";"1368";"1641,6";"1368";"1368";"1368";"1368";"1368";"1368";"0";"1";"0";"Керамическая плитка";;;;
"321211";"+17637";"плитка, District Denim, 25x75";"+17637 Плитка облиц. керамич. DISTRICT DENIM, 25x75";"Colorker";"District";"плитка";"25x75";"25";"75";"20,5";"6";"1,13";"м2";;"0";"3068,8";"2478,36";"3068,8";"1978,28";"2186,52";"2082,4";"2041,36";"1978,28";"1937,24";"1895,44";"2082,4";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";"серый"
"321212";"+17638";"плитка, District Denim Calma, 25x75";"+17638 Плитка облиц. керамич. DISTRICT DENIM CALMA, 25x75";"Colorker";"District";"плитка";"25x75";"25";"75";"20,5";"6";"1,13";"м2";;"0";"3281,6";"2650,12";"3281,6";"2115,84";"2338,52";"2226,8";"2182,72";"2115,84";"2071";"2026,92";"2226,8";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";"серый"
"321213";"+17639";"декор (мм), District Tradition Decor, 25x75";"+17639 Декор керамич. DISTRICT TRADITION DECOR, 25x75";"Colorker";"District";"декор (мм)";"25x75";"25";"75";"20,5";"6";"1,13";"м2";;"0";"3281,6";"2650,12";"3281,6";"2115,84";"2338,52";"2226,8";"2182,72";"2115,84";"2071";"2026,92";"2226,8";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";
"321214";"+17640";"плитка, District Sabbia, 25x75";"+17640 Плитка облиц. керамич. DISTRICT SABBIA, 25x75";"Colorker";"District";"плитка";"25x75";"25";"75";"20,5";"6";"1,13";"м2";;"0";"3068,8";"2478,36";"3068,8";"1978,28";"2186,52";"2082,4";"2041,36";"1978,28";"1937,24";"1895,44";"2082,4";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";"бежевый"
"321215";"+17641";"плитка, District Sabbia Calma, 25x75";"+17641 Плитка облиц. керамич. DISTRICT SABBIA CALMA, 25x75";"Colorker";"District";"плитка";"25x75";"25";"75";"20,5";"6";"1,13";"м2";;"0";"3281,6";"2650,12";"3281,6";"2115,84";"2338,52";"2226,8";"2182,72";"2115,84";"2071";"2026,92";"2226,8";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";"бежевый"
